"url";"class"
"https://medium.com/";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%B7%D0%BD%D0%B5%D1%81";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%A8%D0%BA%D0%BE%D0%BB%D0%B0";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%9E%D1%84%D0%B8%D1%81";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%BA%D1%83%D0%BF%D0%BB%D0%B8-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B8";"Офис, образование или технологии"
"https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5";"Офис, образование или технологии"
"https://www.wildberries.ru/brands/bags";"Потребительские товары"
"https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD";"Потребительские товары"
"https://www.iqconsultancy.ru/articles/chto-takoe-industriya-gostepriimstva/";"Потребительские товары"
"https://m.apkpure.com/ru/tub-sandbox-online/com.XonStudio.TUB";"Потребительские товары"
"https://greenwaystart.com/products/Healthberry/01406/";"Потребительские товары"
"https://www.translate.ru/%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4/%D0%B0%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9-%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9/pool";"Потребительские товары"
"https://en.wikipedia.org/wiki/Filtration";"Потребительские товары"
"https://wooordhunt.ru/word/restroom";"Потребительские товары"
"https://www.consumerreports.org/";"Потребительские товары"
"https://www.inditexcareers.com/portalweb/ru_RU/pull-bear";"Промышленность"
"https://lifts.ru/";"Промышленность"
"https://en.wikipedia.org/wiki/Pneumatics";"Промышленность"
"https://www.cisa.gov/emergency-services-sector";"Промышленность"
"https://apps.autodesk.com/RVT/ru/Detail/Index?id=5641957956279354474&appLang=en&os=Win64";"Промышленность"
"https://www.britannica.com/science/hydraulics";"Промышленность"
"https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BA%D0%B0%D1%83%D1%82";"Промышленность"
"https://willtowers.ru/";"Промышленность"
